Parts and Collections;http://www.ontologydesignpatterns.org/cp/owl/collectionentity.owl
Parts and Collections;http://www.ontologydesignpatterns.org/cp/owl/componency.owl
Parts and Collections;http://sites.google.com/site/pierreyvesvandenbussche/resources/ConceptGroup.owl
Parts and Collections;http://www.ontologydesignpatterns.org/cp/owl/constituency.owl
Parts and Collections;http://www.ontologydesignpatterns.org/cp/owl/partof.owl
Parts and Collections;http://delicias.dia.fi.upm.es/ontologies/SimpleOrAggregated.owl
Parts and Collections;http://www.ontologydesignpatterns.org/cp/owl/timeindexedpartof.owl
Planning;http://www.ontology.se/odp/content/owl/CommunicationEvent.owl
Product development;http://www.ontology.se/odp/content/owl/Action.owl
Product development;http://www.ontology.se/odp/content/owl/CommunicationEvent.owl
Scheduling;http://www.ontologydesignpatterns.org/cp/owl/agentrole.owl
Scheduling;http://www.ontologydesignpatterns.org/cp/owl/taskrole.owl
Scheduling;http://www.ontologydesignpatterns.org/cp/owl/taskexecution.owl
Science;http://www.ontologydesignpatterns.org/cp/owl/observation.owl
Semiotics;http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl
Semiotics;http://ontologydesignpatterns.org/cp/owl/intensionextension.owl
Software Engineering;http://www.cs.ubbcluj.ro/~ivpop/ontologies/oopmetrics.owl
Time;http://delicias.dia.fi.upm.es/ontologies/PeriodicInterval.owl
Time;http://ontologydesignpatterns.org/cp/owl/sequence.owl
Time;http://www.ontologydesignpatterns.org/cp/owl/timeinterval.owl
University;http://www.cs.kent.edu/~malzyoud/ODPs/Course.ow.htm
Upper Ontology;Roehl-jansen_disposition-pattern.owl
Vocabulary;http://sites.google.com/site/pierreyvesvandenbussche/resources/ConceptGroup.owl
Vocabulary;http://sites.google.com/site/pierreyvesvandenbussche/resources/ConceptTerms.owl
Web 2.0;http://ontologydesignpatterns.org/cp/owl/tagging.owl
Workflow;http://descartes-core.org/ontologies/activities/1.0/ActivityPattern.owl
Workflow;http://descartes-core.org/ontologies/mt/1.0/MaterialTransformationPattern.owl
Workflow;http://www.ontologydesignpatterns.org/cp/owl/reaction.owl
Workflow;http://ontologydesignpatterns.org/cp/owl/sequence.owl
Workflow;http://www.ontologydesignpatterns.org/cp/owl/taskexecution.owl
Workflow;http://ontologydesignpatterns.org/cp/owl/transition.owl
